"Data Import Template"
"Table:","Activity Type"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Activity Type","","","","","",""
"Column Labels:","ID","Activity Type","Created On","Created By","Default Costing Rate","Default Billing Rate","Disabled"
"Column Name:","name","activity_type","creation","owner","costing_rate","billing_rate","disabled"
"Mandatory:","Yes","Yes","No","No","No","No","No"
"Type:","Data","Data","Datetime","Link","Currency","Currency","Check"
"Info:","","","dd-mm-yyyy","Valid User","","","0 or 1"
"Start entering data below this line"
"","""Communication""","Communication","2024-06-28 12:06:35.726607","Administrator",0.0,0.0,0
"","""Execution""","Execution","2024-06-28 12:06:35.720618","Administrator",0.0,0.0,0
"","""Planning""","Planning","2024-06-28 12:06:35.693308","Administrator",0.0,0.0,0
"","""Proposal Writing""","Proposal Writing","2024-06-28 12:06:35.711007","Administrator",0.0,0.0,0
"","""Research""","Research","2024-06-28 12:06:35.708024","Administrator",0.0,0.0,0
