"Data Import Template"
"Table:","Department"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Department","","","","","","","","","","~","Department Approver","expense_approvers","","","~","Department Approver","leave_approvers","","","~","Department Approver","shift_request_approver","",""
"Column Labels:","ID","Department","Company","Created On","Created By","Parent Department","Is Group","Disabled","Payroll Cost Center","Leave Block List","","ID","Approver","Created On","Created By","","ID","Approver","Created On","Created By","","ID","Approver","Created On","Created By"
"Column Name:","name","department_name","company","creation","owner","parent_department","is_group","disabled","payroll_cost_center","leave_block_list","~","name","approver","creation","owner","~","name","approver","creation","owner","~","name","approver","creation","owner"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","No","No","","Yes","Yes","No","No","","Yes","Yes","No","No"
"Type:","Data","Data","Link","Datetime","Link","Link","Check","Check","Link","Link","","Data","Link","Datetime","Link","","Data","Link","Datetime","Link","","Data","Link","Datetime","Link"
"Info:","","","Valid Company","dd-mm-yyyy","Valid User","Valid Department","0 or 1","0 or 1","Valid Cost Center","Valid Leave Block List","","","Valid User","dd-mm-yyyy","Valid User","","","Valid User","dd-mm-yyyy","Valid User","","","Valid User","dd-mm-yyyy","Valid User"
"Start entering data below this line"
"","""All Departments""","All Departments","","2024-06-28 12:06:48.207165","Administrator","",1,0,"","","","","","","","","","","","","","","","",""
"","""Accounts""","Accounts","GETSON INDUSTRIES","2024-06-28 12:06:48.230158","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Customer Service""","Customer Service","GETSON INDUSTRIES","2024-06-28 12:06:48.290157","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Dispatch""","Dispatch","GETSON INDUSTRIES","2024-06-28 12:06:48.282678","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Human Resources""","Human Resources","GETSON INDUSTRIES","2024-06-28 12:06:48.301346","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Legal""","Legal","GETSON INDUSTRIES","2024-06-28 12:06:48.356012","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Management""","Management","GETSON INDUSTRIES","2024-06-28 12:06:48.314720","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Marketing""","Marketing","GETSON INDUSTRIES","2024-06-28 12:06:48.237476","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Operations""","Operations","GETSON INDUSTRIES","2024-06-28 12:06:48.259689","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Production""","Production","GETSON INDUSTRIES","2024-06-28 12:06:48.272320","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Purchase""","Purchase","GETSON INDUSTRIES","2024-06-28 12:06:48.250856","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Quality Management""","Quality Management","GETSON INDUSTRIES","2024-06-28 12:06:48.328149","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Research & Development""","Research & Development","GETSON INDUSTRIES","2024-06-28 12:06:48.346723","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
"","""Sales""","Sales","GETSON INDUSTRIES","2024-06-28 12:06:48.243576","Administrator","All Departments",0,0,"","","","","","","","","","","","","","","","",""
